biotipológico	tipológico
traficar	veniagar
subentendido	tácito
regedor	regente
desaplauso	desaprovação
borralhento	cinerício
ratona	ratazana
estrela	sorte
desestorvo	desimpedimento
galopar	galopear
estolidez	estultícia
congratulatório	gratulatório
altissonante	estriduloso
objurgativo	objurgatório
reformatório	reformativo
descanso	repoiso
caçar	ir
escambar	trocar
encalacradela	encalacração
parar	segurar
emendar	escarmentar
siderotécnico	siderúrgico
indenização	ressarcimento
dicotômico	dicótomo
excrescente	excrescencial
nascer	proceder
zangarelha	zangarelho
impalpabilidade	insubstancialidade
assédio	insistência
mesquinhamente	miseravelmente
agromaníaco	agrômano
curinga	dunga
cartapácio	alfarrápio
baralhamento	permistão
desesperante	desesperativo
persuadimento	persuasão
insolação	termoplegia
significativo	vívido
pastorear	pastorar
desflorir	fanar
defumadouro	fumeiro
crescença	crescimento
horrífero	torvo
descapacitar-se	desimaginar-se
enlodar	macular
enguiço	zanga
pregadura	pregaria
chorar	ulular
arrendatário	locatário
abra	anco
dessecado	insensível
escrever-se	inscrever-se
consertado	reformado
requebrar-se	sacudir-se
desfechado	disparado
emugrecer-se	oxidar-se
mergulho	tibungo
abluente	detergente
tombadouro	tombadoiro
oficioso	serviçal
prefácio	prelúdio
cassação	derrogação
pipilar	regorjear
estático	hirto
fibrocelular	fibricelular
prevalência	superioridade
respeitoso	reverente
espraiar	estirar
doutrinação	educação
trapagem	traparia
causticar	narcotizar
descontrole	desgoverno
branqueamento	dealbação
fundamentar-se	louvar-se
turra	caturrismo
lentidão	vagar
vaporizável	volatizável
agro	decepção
ranhura	risca
portão	pórtico
fundeadouro	pouso
geladeira	geleira
insultuoso	xingatório
estanciar	habitar
peco	murcha
ladrante	ladrador
alonginquar-se	distanciar-se
serralharia	serralheria
relheira	trilha
tiradura	tiramento
encolhimento	estreitamento
rubescer	ruborizar
arrebatado	desembestado
citar	tocar
ondulatório	undante
basteirado	basteireado
zum	zoom
cível	civil
atascal	lameiro
desgracioso	ingracioso
solevar	sofraldar
inexpugnável	invencível
convulsionante	convulsante
cancerar	transfigurar
conjugação	junção
tisiólogo	tisiologista
prefixo	prefixado
charmosamente	graciosamente
automatizado	inconsciente
enredamento	entrançado
abrigo	agasalho
credência	bufete
subitaneidade	repentinidade
martirizar	remoer
improficuamente	inutilmente
áscua	faúla
perfuradora	perfuratriz
desmisericordioso	despiedado
trabalhão	trabalheira
natante	natátil
concúbito	cópula
mobilizar-se	movimentar-se
acumulação	aglomeração
facínora	malfeitor
plasticizante	platificante
desembestada	galope
outorgado	permitido
ensimesmamento	recolhimento
endereçar	enviar
lama	penúria
afiamento	amolação
mascarilha	meia-máscara
sobalçar	sobredourar
amoldurado	emoldurado
lacrimejo	lagrimejamento
gulosear	peniscar
extraviar-se	perder-se
presentar-se	representar-se
comutador	comutativo
candongar	pajear
absonar	desatremar
deleitosamente	saborosamente
ondado	ondeado
ultimar	vencer
plebeu	ruão
ressaio	rossio
comitê	junta
sachê	almofadinha
deliberar-se	determinar-se
benevolência	bondade
longuidão	longura
acurar-se	refinar-se
terceiro	intermediário
tripas	vísceras
amotinador	brigante
areal	areão
sobrevindo	advindo
conclamar	proclamar
furna	subterrâneo
provindo	vindo
encalar	encaminhar
grã-ducal	grão-ducal
precisamente	rigorosamente
desorado	despropositado
recrear-se	refocilar-se
amenizar-se	aplacar-se
aducente	aduzente
efeminizar	feminizar
deslassar	laxar
assacadilha	enegrecimento
massamorda	miscelânea
merca-tudo	adelo
motejar	ridicularizar
transvazar-se	trasbordar
maçarocada	massamorda
denominação	nomeação
aromatizar	perfumar
diabrete	trasgo
escavacado	espedaçado
desprimorar	rebaixar
bienal	bisanual
metamorfosear-se	mudar-se
massacrar	modornar
encantador	fascinador
banquete	festim
confiar	encargar
tardada	tardança
desinflar	detumescer
entrepresa	interpresa
ronqueira	roqueira
alternar	rajar
acaçapante	irrecusável
indivisibilidade	inseparabilidade
permutado	trocado
espraiar-se	esticar-se
volutuosidade	delícia
mesmo	próprio
espetaculoso	luxuoso
ferida	pústula
preterir	sotopor
acuar	arrincoar
extranatural	supernatural
vergonhoso	pejado
reatiçar	reespertar
onerar	sujeitar
desanojar	desenlutar
marginar	margear
madre	mãe-do-rio
danificador	daninhador
glauco	verde-gaio
enxugar	secar
jorrar	manar
ovniologista	ufólogo
insaciado	insatisfeito
acento	tom
pneumático	pneu
badó	chapetão
percuciente	profundo
caudado	rabado
tirar-se	separar-se
condensante	condensativo
descoroar	destronizar
infernado	infernizado
nacional	vernáculo
professar	ter
suntuário	sumptuário
entorroar	enterroar
trajar-se	tratar-se
plantão	quarto
solipso	solteirão
unir-se	vir
canalhada	canalhice
declivoso	teso
rabulejar	rabular
galrejar	trinar
humilíssimo	humílimo
encerebrado	decorado
poscênio	bastidores
incubar	traçar
dejejua	dejejuadouro
edição	publicação
limpo	puro
azarar	cafifar
empegar-se	mergulhar-se
depuração	limpa
elitizante	elitário
enrascar-se	implicar-se
borrachice	prego
canhoteiro	canhoto
humílimo	humilíssimo
estonar	pelar
bolorecer	embolorar
campanular	encampanado
predicante	pregador
dissociar-se	separar-se
individuante	individuativo
sufocamento	sufocação
subentender	supor
cafajestismo	canalhismo
definhado	prostrado
granuloso	grumoso
embair-se	iludir-se
despenar	fortificar
velhusco	velhustro
aquiescência	assentimento
estrabar	laxar
china	chinês
graçola	chança
agoureiro	vidente
macacada	macaqueação
conseguir	ter
estremunhar-se	estrovinhar-se
gritada	tagarela
tempo	vez
bambear	esbambear
diminuidor	abaixador
detalhe	particularidade
atomizador	nebulizador
calafriento	calefriento
esmorrar	espevitar
impetrante	suplicante
definitivamente	terminantemente
flerte	namorisco
ponderado	sério
beneficiação	benfeitoria
bruma	nuvem
destristecer-se	entusiasmar-se
pernigordo	pernigrosso
inclemente	severo
esfoladura	esfolamento
desesperar-se	rasgar-se
desairar-se	desconsiderar-se
fecúndia	riqueza
retroverso	retrovertido
lastimável	miserando
reintegrador	reintegrativo
encoiraçar	encouraçar
nutriz	ama-de-leite
oculista	oftalmologista
esfiapado	esfiampado
arremesso	despenho
autocomiseração	amiseração
radioemissão	radiemissão
eletrólise	eletrolisação
travação	travamento
comprobativo	comprobatório
assimilação	compenetração
ajutório	putirão
quizília	rota
enfarto	infarto
calcitrar	engravitar-se
postremo	último
roço	soberba
desajeitar	destruir
beatificar	canonizar
lucidez	saúde
sêxtuplo	seisdobro
desligamento	soltura
toural	toiral
fragmentar-se	quebrar-se
xila	poluição
entrouxar-se	refugiar-se
melindrar	vulnerar
assegurar-se	fundar-se
antibrômico	desodorizante
alveolado	faviforme
avisar	premunir
endoidecedor	endoudecedor
ajaezado	esquipado
abc	a-bê-cê
erriçamento	arrepiamento
trançante	trançador
borboleteante	borboleteador
afalcoar	estimular
segregação	separação
acromo	incolor
emparelhado	irmanado
propina	xixica
debacle	queda
abarrocar	obturar
chegado	íntimo
langorosamente	languidamente
solvabilidade	solvibilidade
graduado	formado
soberanizar	sobredourar
clerezia	igreja
magnésico	magnesiano
desunido	dissociado
estatelar	tombar
telefonada	telefonema
reintroduzir-se	reimplantar-se
excurso	excursão
caco	entulho
negativa	recusa
enternecer-se	impressionar-se
acrograma	monograma
relator	narrador
respirar	viver
pequenote	rapazote
desprazer	ofender
singularidade	unicidade
desmobilhado	desmobiliado
nigromante	necromante
montículo	morro
restituído	devolvido
retrogradação	reversão
zanga-burrinho	joão-galamarte
negrejante	negro
descorporizar	desincorporar
dissipação	pândega
atiçar	espicaçar
presta-nome	títere
frutificativo	frutígero
monometalismo	unimetalismo
shampoo	xampu
entretanto	entrementes
mancada	vacilo
alegremente	prazenteiramente
travessão	viga
lunar	selênico
bastura	espessura
repetidor	repetente
garrular	prosear
estrábico	vasqueiro
burla	fraudulência
federalizar	federar
emparelhar	empatar
amenização	suavização
enjoar	entediar
inumerável	sobrenumerável
bigorne	bicórneo
transmigrante	transmigrador
constipação	ressecamento
escoliasta	escoliador
enunciar	mencionar
desapropriar	despossar
amadurado	assazonado
calandrado	lustrado
anfiteátrico	anfiteatral
desmastreado	desmastrado
peregrina	romeira
apresentar-se	declarar-se
despiedar-se	desapiedar-se
denegação	indeferimento
crucial	precípuo
esfuracado	furado
corselete	justilho
asselvajado	rude
instauração	estabelecimento
manifestamente	publicamente
irregularidade	delito
incisura	talho
demolidor	destruidor
transparência	clareza
navegar	velejar
tinturaria	lavandaria
dilatabilidade	incompressibilidade
moderatório	moderador
indocilidade	rispidez
modificado	mudado
atufar-se	meter-se
saraivada	saraiva
impressionabilidade	sensibilidade
ciumeira	ciumaria
estimular	impelir
piromaníaco	pirômano
sobrecéu	baldaquino
iriar	irisar
atorado	cortado
imanente	inseparável
sociável	extrovertido
pantomimeiro	pantomimo
embarrear	enlamear
honorabilidade	mérito
situar-se	localizar-se
espaventoso	estrondoso
filáucia	egoísmo
radicalidade	intolerância
protrátil	protráctil
acaçapar-se	acovar-se
apoiar	laurear
apancadado	tonto
guarda-lume	guarda-fogo
grifar	sublinhar
impecabilidade	perfectibilidade
engatilhar	escarnar
ganha-pão	ganhadeiro
desferrujado	destorpecido
gustatório	gustativo
avinagrado	vinagrado
cabortar	carapetar
estremecido	sobressaltado
erotização	sensualização
valedor	valedouro
reinícola	reinol
ágio	usura
aberto	aprofundado
retoque	revisão
levedação	fermentação
cavaca	estilha
sectário	seguidor
guisar	refogar
paradigmal	paradigmático
abelheira	abelheiro
francófilo	galófilo
revoltar-se	sublevar-se
assumptivo	assuntivo
vozeirar	vozear
resvaladoiro	resvaladouro
avir-se	engraçar-se
urinar	desbeber
cabrocha	mulato
visceroso	visceral
abacto	abigeato
mantença	sustento
congregação	organização
silenciador	silencioso
preservado	conservado
verrumar	vexar
atormentativo	escruciante
refrescamento	suprimento
magano	maldadoso
descontinência	incontinência
invocado	avocado
damejar	requestar
pretermissão	preterição
inauferível	inerente
poupar-se	subtrair-se
involuntário	mecânico
aditado	aposto
carnear	siderar
rastelo	restelo
cevado	gordo
explicitamente	expressamente
enarrar	soletrar
ângulo	ponta
linhívoro	lignívoro
civilístico	civilista
travento	travoroso
desenvencilhado	desenvincilhado
bençoar	favonear
revirete	repostada
ajustável	regulável
devastado	talado
feião	horrível
chateação	importunação
bosteloso	bostelento
galólatra	francólatra
pugilismo	boxe
aborrecido	maçador
abstenção	neutralidade
magrez	magreza
omnímodo	onímodo
infetuoso	infecioso
desatolar	desenvasar
anglômano	anglomaníaco
gaguez	tartamudeio
proximidades	redondeza
arreamento	mobiliário
horrissonante	horríssono
encalejar-se	incrustar-se
deficiência	insuficiência
cotejado	contrastado
comezaina	patuscada
descivilizar-se	embrutecer-se
mondador	carpidor
sobrancelhas	supercílios
órgio	orgiástico
saia-balão	merinaque
benigno	indulgente
fenda	rachadela
dividido	partido
predominante	preponderante
magniloqüência	facúndia
cauterizador	cauterizante
vociferar	latir
deslizadeiro	resvaladoiro
lanugem	penugem
metanóia	penitência
zagaia	azagaia
raposada	raposeira
alcunhado	cognominado
barraca	tenda
croque	coque
arejamento	arejo
fiapo	filamento
sobressaltado	trépido
explorar	lustrar
encabeirar	encabar
intrigar	onzeneirar
aval	plácito
ranchada	rancho
desengranzado	desengrenado
denegrir	improperar
tiquinho	tico
desapropositado	inoportuno
caracolado	encaracolado
láteo	laticinoso
fontanal	fontano
adelo	merca-tudo
transgressão	violação
renovador	renovante
desejo	vontade
intrincar	rodilhar
escarnar	escascar
teste	verificação
nobrecer	subir
asnil	boçal
rinchavelhar	gargalhar
saciação	satisfação
coluna	pilar
pneu	pneumático
concutir	encasquetar
verificar-se	executar-se
escabelar	esgadelhar
desamuar-se	desemburrar-se
hiemal	invernoso
acocorado	agachado
putrefatório	putrefaciente
irrequietação	torvação
armazenado	acumulado
vaporoso	tênue
intervalar	mesclar
sarabulhento	sarabulhoso
empachar	fechar
atassalhado	espedaçado
ramalhete	ramilhete
estreiteza	penúria
servidor	volante
lapela	rebuço
colibri	cuitelo
desafamar	setear
difluir	trasbordar
adorador	fã
viveiro	passareira
carpimento	carpição
arvoragem	arborização
argila	barro
ausentado	saído
detração	infamação
compatível	patível
pitada	ponta
encrenca	quê
despersuadido	dissuadido
pospor	refugar
esticado	retesado
sarandagem	vadiice
adomar	temperar
intentar	meditar
atribulador	atribulativo
festividade	função
inópia	pauperismo
fraterno	fraternal
bênção	graça
desenfastiar	pascentar
reputação	título
compelir	obrigar
subsidiar	servir
replicável	retorqüível
prosseguimento	subseqüência
levantador	revoltador
mitridatizar-se	imunizar-se
cacharolete	coquetel
redizer	sanfoninar
cavalar	exagerado
exculpar	exonerar
imutável	irrevogável
vilania	vileza
torturar-se	rasgar-se
girante	rotativo
bazofiador	pimpão
adornar	formosentar
farrusca	mascarra
forraginoso	forrageiro
alumbrado	deslumbrado
glosa	interpretação
briga	turbulência
rejuvenescimento	juvenescimento
findo	vencido
proclamação	proclamas
pretensor	pretendedor
translúcido	visível
corvino	corviforme
sicoma	verruga
unígamo	monógamo
crispante	franzido
pular	saltar
compatriota	paisano
descarnadura	descascamento
desinfetante	desinfetador
uranoscopia	astrologia
fragmentar	partir
referver-se	vulcanizar-se
manipular	suscitar
polir-se	refinar-se
aferir	balançar
interseccional	intersecional
desilusionante	desilusório
indigno	refece
bimilenáreo	bimilenar
flabelífero	flabeliforme
arrepiado	híspido
lenificar	lenir
recuo	retirada
zona	zoster
troca-pernas	vagamundo
avoejar	voar
asado	alado
denunciante	malsim
coadjuvar	segundar
evolucionar	evoluir
arregalado	esbugalhado
eglogal	eclogal
desabono	desautorização
apresto	avio
acrobata	equilibrista
intrometer-se	meter-se
empanturrar	locupletar
aferro	agarração
rutilar	soltar
salmoeira	salmoura
incontrovertido	indisputado
amimar	berçar
gelado	gélido
balestra	trabuco
desforrado	despicado
filtração	filtramento
letificante	letífico
consumo	sumpto
ictíico	ictíaco
trejeiteiro	trejeitoso
isofeno	isófano
afrontado	ofendido
amiláceo	amilóide
defeituosidade	imperfectibilidade
saciável	fartável
halo	nimbo
fora-da-lei	marginal
atrasado	retardado
rouquento	roufenho
acordeom	gaita
boné	quepe
babilônia	balbúrdia
empoeirado	pulveroso
maquinado	tramado
proejar	emproar
